owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity
apollographql,react-apollo,30.9,19.6,,65.5,38.6,2.4,7.1,,,55.6,74.0,77.3,36.4,34.5,39.0,64.9,,52.0,51.2
postcss,gulp-postcss,35.9,40.8,6.3,44.9,51.5,11.0,12.5,12.4,8.2,40.1,40.5,33.8,45.6,40.4,30.1,30.6,7.7,52.1,28.4
OverZealous,run-sequence,29.8,32.2,,42.0,44.8,2.9,8.7,,,36.6,45.4,29.6,44.6,26.9,25.4,56.3,,19.9,26.0
koajs,logger,36.4,12.5,,61.9,71.2,2.9,8.8,,,31.6,35.4,40.1,19.4,31.6,26.1,21.3,,56.9,26.1
jaredhanson,passport-oauth,33.0,5.2,0.8,41.9,84.2,3.2,8.8,0.9,,29.4,15.9,27.5,32.0,42.4,12.1,25.6,,10.6,15.5
hughsk,vinyl-source-stream,38.5,23.6,,41.8,88.4,2.9,8.8,,,28.0,26.6,19.2,39.3,27.1,21.2,31.3,,32.5,16.2
MoOx,postcss-cssnext,35.1,32.3,,54.9,53.2,3.0,8.9,,,52.7,70.8,56.3,42.2,41.4,40.8,77.4,,44.8,43.4
ivogabe,gulp-typescript,22.1,21.8,,34.4,32.1,3.0,8.9,,,42.4,41.6,46.8,34.3,47.0,33.9,53.3,,48.4,30.5
sindresorhus,gulp-filter,41.6,26.6,6.0,59.8,74.2,13.6,16.6,7.9,16.4,30.1,25.8,22.3,37.6,34.8,27.8,30.6,12.8,40.0,20.6
adametry,gulp-eslint,27.6,21.9,,59.4,29.1,2.2,6.5,,,37.2,35.6,43.6,40.2,29.2,42.2,63.9,,62.8,27.1
sindresorhus,gulp-imagemin,43.9,38.7,0.1,62.5,74.2,2.9,7.8,0.1,0.8,48.9,56.2,51.1,51.3,36.8,29.0,35.0,3.4,48.8,36.7
hughsk,vinyl-buffer,38.2,31.5,,33.1,88.3,2.2,6.5,,,22.0,14.2,11.5,36.7,25.6,16.7,31.3,,18.8,9.3
jaredhanson,connect-flash,32.2,4.0,,40.3,84.5,2.0,6.0,,,46.5,49.5,49.4,47.5,39.6,15.5,41.1,,5.5,33.6
palantir,tslint-react,28.5,29.3,,33.3,51.6,2.0,6.1,,,34.1,39.9,35.8,34.2,26.4,31.0,49.7,,43.2,25.9
karma-runner,karma-phantomjs-launcher,27.6,5.7,,40.5,64.1,2.0,6.1,,,37.8,24.0,45.7,47.7,33.6,38.0,67.2,,46.9,23.9
s-panferov,awesome-typescript-loader,33.7,6.1,,77.1,51.5,2.0,6.1,,,44.6,59.6,52.9,38.0,27.9,33.5,65.6,,34.9,38.2
gruntjs,grunt-contrib-jshint,37.7,18.3,14.8,46.9,70.8,14.3,12.4,12.0,18.6,49.2,38.9,55.6,55.4,46.9,49.3,65.1,16.6,66.2,36.3
clessg,progress-bar-webpack-plugin,21.5,4.2,,37.1,44.5,2.1,6.2,,,25.5,30.5,24.4,33.5,13.7,24.9,32.9,,41.9,19.0
gulp-community,gulp-less,28.0,23.8,,36.3,51.7,2.2,6.6,,,39.9,35.3,42.7,42.7,39.0,34.3,38.1,,64.7,26.7
jackfranklin,gulp-load-plugins,46.1,29.3,,80.4,74.5,2.1,6.3,,,37.0,40.1,29.5,42.3,35.9,37.0,51.0,,60.0,23.9
floatdrop,gulp-watch,34.9,15.7,,46.5,77.2,3.7,11.0,,,38.4,37.1,41.3,40.5,34.7,35.7,63.3,,44.0,27.4
buglabs,node-xml2json,28.2,7.5,,31.4,73.8,1.9,5.8,,,36.7,41.9,55.9,5.1,43.8,34.6,45.2,,58.5,33.2
jdesboeufs,connect-mongo,44.6,47.3,17.8,73.2,40.2,15.5,19.9,10.4,16.0,52.8,57.3,65.4,43.3,45.4,48.6,73.7,14.4,57.8,46.1
loganfsmyth,babel-plugin-transform-decorators-legacy,24.7,10.5,,40.0,48.3,2.0,5.9,,,31.5,42.3,28.5,41.3,14.1,20.6,48.6,,13.1,24.3
maritz,node-sprintf,27.6,31.1,,27.7,51.5,2.0,5.9,,,26.1,13.8,13.0,31.2,46.5,20.1,28.0,,32.4,9.6
ryanmcgrath,wrench-js,20.4,7.3,,30.5,43.6,2.0,5.9,,,36.6,30.9,33.1,33.7,48.8,25.9,30.3,,47.3,22.0
pull-stream,pull-stream,30.0,8.9,,53.1,57.8,2.0,6.0,,,37.0,40.9,35.3,38.5,33.1,24.7,32.0,,42.0,26.1
mikaelbr,gulp-notify,31.8,10.3,,53.4,63.4,2.4,6.0,1.1,,33.2,36.5,23.1,43.8,29.2,26.4,52.7,,26.5,20.7
evilstreak,markdown-js,25.7,5.7,,47.0,50.0,2.5,7.6,,,52.8,75.7,79.4,5.2,50.8,21.9,25.9,,39.9,52.5
Polymer,polymer,43.5,53.4,11.2,67.6,41.9,9.5,13.0,15.6,,66.4,91.4,89.9,21.4,62.8,45.8,53.0,8.2,76.2,63.6
jprichardson,string.js,35.8,6.5,,53.6,83.2,2.6,7.7,,,39.7,55.5,57.7,3.8,41.8,25.2,30.2,,45.5,38.6
goldhand,sw-precache-webpack-plugin,28.8,12.2,,49.5,53.6,2.6,7.7,,,40.0,52.7,42.5,55.3,9.6,36.4,78.9,,30.3,32.6
spalger,gulp-jshint,23.9,18.8,,47.8,29.2,2.6,7.8,,,34.3,29.8,33.5,43.5,30.2,38.1,57.5,,56.9,22.0
nuysoft,Mock,23.1,14.2,,34.5,43.6,4.4,13.1,,,57.5,89.2,92.9,3.9,44.0,15.6,31.4,,15.2,62.2
stylus,nib,15.8,7.6,,35.7,20.1,2.6,7.8,,,54.2,56.8,59.2,39.2,61.8,38.9,49.0,,67.8,39.5
sun-zheng-an,gulp-shell,27.8,28.2,,37.8,45.3,2.6,7.9,,,34.6,33.0,29.9,37.1,38.4,31.6,65.1,,29.8,21.8
caolan,highland,33.6,9.0,,44.9,80.5,2.5,7.4,,,45.6,65.2,50.4,29.9,36.8,45.4,63.7,,72.6,39.4
ftlabs,fastclick,25.5,3.7,,46.4,52.0,2.5,7.4,,,66.8,88.8,94.1,39.8,44.6,23.9,33.0,,38.8,61.8
jamestalmage,cli-table2,30.6,2.6,,47.4,72.2,2.5,7.4,,,24.5,23.3,22.5,32.4,19.7,18.6,38.6,,17.2,16.1
serialport,node-serialport,42.6,40.7,31.0,85.8,12.9,28.9,28.1,40.0,18.7,64.3,71.8,81.2,31.6,72.5,47.0,56.2,30.6,54.2,60.6
nathanpeck,clui,19.4,5.5,,27.1,45.0,1.8,5.4,,,34.1,54.2,27.0,30.8,24.3,18.1,35.8,,18.6,27.7
hapijs,hapi,44.2,44.3,27.6,47.8,57.3,23.8,25.6,21.1,24.6,64.5,85.5,84.9,33.6,53.9,47.0,36.1,23.1,81.8,64.7
baryon,tracer,30.3,21.7,2.1,53.0,44.2,4.1,5.8,5.4,1.1,42.5,48.3,44.2,29.7,47.7,36.8,51.6,0.6,58.1,32.2
louischatriot,nedb,33.1,25.2,,55.1,52.1,3.6,10.9,,,57.7,84.3,81.3,32.8,32.5,21.8,30.3,,35.0,56.4
Timer,fork-ts-checker-webpack-plugin,21.2,,,39.8,44.9,1.7,5.0,,,14.1,1.7,9.0,43.2,2.4,39.8,46.5,,73.0,4.1
nodegit,nodegit,38.1,39.7,9.2,62.3,41.4,16.1,18.6,13.8,16.1,61.4,71.5,74.5,29.4,70.2,46.6,51.2,17.3,71.3,54.0
pouchdb,pouchdb,47.4,50.9,34.8,46.1,57.9,35.1,29.8,42.4,33.3,68.9,86.5,86.5,31.4,71.3,50.3,37.3,37.6,76.0,69.4
sindresorhus,unique-random-array,31.8,1.2,,50.2,75.9,1.7,5.1,,,20.0,13.9,11.9,32.9,21.1,17.5,29.9,,22.7,9.2
jupyterlab,jupyterlab,39.8,26.0,27.8,77.6,27.8,42.7,37.7,46.5,43.8,61.5,84.5,93.4,30.0,38.0,67.7,61.1,47.0,95.0,73.5
dthree,vorpal,15.2,4.6,,45.7,10.4,2.1,5.2,1.2,,44.8,71.7,63.4,29.6,14.4,36.0,38.3,,69.7,45.7
hapijs,inert,32.8,24.0,3.8,46.1,57.4,2.2,5.2,1.3,,25.9,22.3,25.4,30.7,25.3,29.0,26.2,5.5,55.3,16.6
EvanOxfeld,node-unzip,24.4,2.5,,36.2,58.7,1.7,5.2,,,38.8,36.9,64.4,16.7,37.2,17.4,33.0,,19.3,34.3
cloudhead,node-static,33.2,8.6,,54.2,70.2,2.7,8.0,,,50.5,58.7,60.0,35.9,47.5,35.2,51.7,,53.9,40.5
danwrong,restler,29.1,3.8,,48.7,64.0,1.6,4.8,,,51.0,57.8,67.3,29.5,49.4,30.8,28.7,,63.5,42.2
alibaba,BizCharts,28.9,20.9,4.3,41.6,48.9,9.1,17.4,8.7,1.2,48.9,72.7,73.9,30.1,19.0,34.6,44.0,0.6,59.2,51.9
metalsmith,metalsmith,43.6,42.0,20.0,86.3,26.1,14.9,15.7,12.8,16.2,53.9,76.2,73.1,30.2,36.0,36.7,38.6,18.2,53.1,54.7
zilverline,react-tap-event-plugin,24.3,6.7,,28.8,61.6,1.6,4.9,,,36.3,46.9,41.9,33.3,23.2,18.6,23.4,,32.4,30.1
slushjs,gulp-install,26.4,9.8,,47.7,47.9,1.6,4.9,,,24.4,15.4,25.0,30.9,26.1,22.0,33.0,,33.1,14.0
sindresorhus,gulp-template,39.5,16.9,0.9,63.1,77.3,2.8,5.4,1.8,1.3,29.7,24.4,35.7,29.8,29.1,17.4,24.5,4.0,23.7,21.0
shockie,node-iniparser,11.4,2.4,,22.1,21.2,1.7,5.0,,,26.7,14.0,16.8,29.1,47.0,14.7,21.8,,22.4,10.8
redis,hiredis-node,22.1,19.0,,32.5,37.0,2.2,6.6,,,30.9,25.1,36.8,14.2,47.6,23.5,19.5,,51.1,21.4
alibaba-fusion,next,34.8,44.3,33.4,42.7,18.6,40.6,37.1,44.5,40.2,44.9,68.3,72.0,5.9,33.2,61.6,65.0,43.6,76.3,60.3
iview,iview,25.9,27.9,,52.8,22.9,5.2,13.1,2.4,,63.4,92.7,95.5,31.7,33.7,52.4,73.8,,83.4,64.5
phosphorjs,phosphor,20.8,11.4,,33.4,38.3,2.2,6.7,,,35.8,46.3,51.4,27.3,18.1,43.1,68.0,,61.2,33.3
ipfs,js-ipfs,36.3,30.0,,70.2,44.8,2.2,6.7,,,60.0,75.2,83.9,26.4,54.5,44.0,45.0,16.8,70.2,53.8
johnagan,clean-webpack-plugin,21.4,12.0,,34.9,38.5,2.2,6.7,,,46.6,57.5,46.4,57.6,25.0,31.3,49.0,,45.0,35.4
atomist,automation-client,30.1,30.0,,58.6,31.7,2.3,6.8,,,20.7,9.1,13.7,27.8,32.3,45.0,62.3,,72.8,8.4
sindresorhus,query-string,43.8,22.9,8.1,68.9,75.3,7.3,16.5,5.5,,68.0,73.8,68.8,80.3,49.0,38.6,41.8,6.3,67.5,50.0
plone,volto,54.2,26.1,27.4,79.2,84.3,42.6,37.2,47.2,43.5,42.3,29.9,71.7,27.0,40.8,61.6,68.2,46.6,70.1,48.1
gaearon,react-hot-loader,42.0,21.6,,84.0,62.4,3.3,9.8,,,65.8,82.6,77.4,52.8,50.4,51.9,83.8,,71.8,54.4
react-component,rc-tools,20.9,5.4,,28.6,49.6,2.1,6.4,,,24.2,20.5,28.9,28.0,19.4,31.6,44.8,,50.0,17.2
darekf77,morphi,15.6,1.8,9.1,17.2,34.5,11.9,9.2,18.1,8.3,11.0,8.7,5.7,25.7,4.0,46.9,67.7,21.3,51.7,8.8
e1-bsd,omni-common-ui,15.9,,,39.3,24.4,1.5,4.4,,,15.8,7.9,8.6,17.9,28.7,34.7,70.8,,33.3,6.0
facebook,nuclide,27.6,9.4,,54.1,46.9,1.5,4.4,,,54.9,76.1,74.4,24.8,44.1,48.2,74.3,,70.4,50.7
electrode-io,electrode,37.1,28.5,22.1,58.7,39.2,19.0,9.5,30.9,16.6,39.3,58.2,62.5,27.9,8.7,50.5,67.0,25.2,59.2,46.6
wintercounter,mhy,21.2,7.2,,45.3,32.4,5.1,4.0,11.4,,21.1,17.3,19.8,16.6,30.6,18.8,39.9,,16.6,14.1
dexteryy,Project-WebCube,32.1,30.5,,29.3,68.7,1.3,4.0,,,16.5,17.8,14.8,21.8,11.7,21.8,64.8,,0.6,11.3
compute-io,compute.io,35.6,30.6,,34.8,77.0,1.3,4.0,,,17.2,13.5,10.0,23.5,21.8,14.1,37.4,,4.8,8.3
slushjs,gulp-conflict,22.5,2.6,,39.5,47.9,1.4,4.1,,,18.8,10.1,12.3,28.1,24.8,17.6,39.6,,13.3,7.9
sebastian-software,advanced-boilerplate,13.8,,,21.4,33.8,1.4,4.1,,,21.0,14.4,11.0,21.0,37.6,36.5,71.5,,38.1,8.9
embarklabs,embark,26.0,15.4,,59.5,28.9,2.5,7.4,,,51.2,66.6,70.6,27.2,40.6,49.9,70.2,18.2,61.4,46.6
agneta,platform,16.7,1.9,,47.3,17.6,1.4,4.2,,,9.4,7.7,7.6,16.5,6.0,23.4,67.2,,2.9,5.6
ziruYU,nodejs,7.2,1.9,,17.3,9.7,1.2,3.7,,,5.3,3.0,2.2,10.8,5.1,16.7,47.2,,2.9,2.1
NetWilliam,protocol-buffers-schema,12.2,,,18.3,30.4,1.2,3.7,,,7.4,4.6,2.1,16.9,6.0,25.3,25.8,,50.0,2.6
toyako,yanglao,6.9,2.0,,16.5,9.0,1.2,3.7,,,5.8,4.8,2.0,9.9,6.5,10.7,29.0,,3.0,2.7
cnn007,node-dingtalk-robot,18.1,2.0,,35.4,35.0,1.3,3.8,,,7.2,6.5,7.3,10.0,5.0,13.0,36.0,,3.0,5.0
chjj,bslint,25.0,2.0,1.4,34.1,62.4,2.5,4.0,2.7,0.7,9.0,6.9,7.2,20.1,1.9,14.0,38.5,0.3,3.0,5.5
aethant,merino,10.6,2.3,,15.8,24.5,1.3,3.8,,,9.1,7.2,7.1,10.1,12.0,29.6,69.3,,19.4,5.2
Anoop24031989,cordova-plugin-tsp-for-Android,8.2,2.1,,13.6,16.9,1.3,3.9,,,5.0,2.5,1.8,10.2,5.7,8.9,23.7,,3.1,1.9
joshmatz,big-bertha,21.5,5.9,,31.5,48.5,1.3,3.9,,,11.0,8.0,6.9,18.2,10.8,9.7,25.9,,3.1,5.4
chjj,babylonia,25.4,2.1,,37.2,62.4,1.8,5.5,,,4.9,7.1,0.4,10.3,1.9,12.6,34.6,,3.2,3.1
ericmcornelius,ease,18.4,1.3,,13.2,59.0,1.9,5.6,,,9.8,7.5,9.6,10.4,11.8,22.5,64.7,,2.8,6.3
codemirror,CodeMirror,30.2,26.9,17.1,53.9,23.0,28.6,30.0,25.5,30.3,68.2,93.9,96.1,8.6,74.0,50.1,35.9,24.9,89.7,72.9
nithincvpoyyil,voice-listener,13.1,1.3,,34.0,17.1,5.9,5.6,11.9,,9.6,6.7,6.7,16.8,8.2,17.3,49.2,,2.8,6.4
jwilber,roughViz,26.8,6.6,14.8,50.6,35.4,14.8,6.8,28.0,9.6,36.6,64.4,57.3,24.1,0.7,20.7,39.7,4.8,17.6,45.5
hexlet-components,js-pairs,12.2,1.0,,15.9,32.0,4.2,5.7,7.0,,16.0,11.6,15.0,27.4,9.9,32.8,55.9,1.5,41.0,10.3
terryarbase,nextnode,14.7,1.0,,47.0,10.7,1.9,5.7,,,7.6,4.9,2.4,20.8,2.2,33.7,63.6,,37.6,3.1
rstacruz,pnpm,52.8,25.2,30.8,80.6,74.5,42.7,38.6,46.4,43.1,61.8,94.4,79.7,30.3,42.7,57.2,70.4,45.1,56.2,72.3
ckeditor,ckeditor5-build-inline,20.8,,,39.6,43.7,1.8,5.3,,,20.9,9.7,43.7,8.7,21.4,39.3,40.2,,77.8,18.4
mehmetkose,react-websocket,21.4,3.3,,31.2,51.1,1.8,5.3,,,27.6,27.7,37.0,28.9,16.9,32.4,57.4,,39.8,22.2
stewartml,react-angular-component,4.7,1.1,,16.0,1.6,1.8,5.3,,,6.9,5.1,7.4,11.7,3.4,20.6,61.8,,,4.8
akserg,ng2-toasty,25.5,8.3,,44.4,49.2,1.8,5.4,,,30.7,24.1,40.7,29.0,29.0,28.2,47.8,,37.0,22.2
primefaces,primeng,30.1,40.3,29.9,31.0,19.4,45.9,45.3,47.8,44.5,63.0,78.5,95.9,36.2,41.3,65.0,59.2,46.0,89.7,73.4
jabbla,Freemamba,16.2,1.1,,37.9,25.9,3.9,11.8,,,6.7,7.3,2.3,11.8,5.5,15.7,45.1,,1.9,4.5
askiiRobotics,react-native-ok-sdk,13.1,1.1,,37.0,14.2,3.8,11.5,,,9.0,0.3,10.5,19.2,5.8,22.6,67.7,,,4.9
namchey,linkpreview,10.3,2.7,0.0,29.1,9.5,7.9,14.5,0.1,9.1,10.2,13.7,11.3,15.0,0.8,28.9,69.8,4.5,12.4,11.0
dorado-lmz,axios-retry,12.6,,,20.9,29.6,3.8,11.5,,,5.9,2.9,4.2,12.9,3.6,22.9,35.8,,32.9,3.6
linagora,openpaas-esn,25.8,24.9,,23.9,54.6,6.3,11.6,7.3,,32.3,32.4,48.5,25.6,22.8,37.2,44.9,,66.7,29.1
lazy-bee,ui,7.8,3.0,,20.1,8.2,3.9,11.6,,,9.1,10.2,11.6,13.0,1.8,38.6,70.4,,45.4,8.6
colmbrady,react-native-feather,11.7,1.7,,27.4,17.6,3.9,11.6,,,8.6,8.9,8.9,13.1,3.6,22.4,65.4,,1.9,7.2
mzamoras,rbc,18.0,1.8,,50.4,19.9,3.9,11.7,,,9.8,2.0,3.2,19.0,15.1,26.5,62.6,,16.8,3.0
patternweb,patternx,9.1,1.4,,16.4,18.4,3.9,11.7,,,7.3,7.8,3.3,13.2,4.8,22.5,65.6,,2.0,5.0
LearningLocker,learninglocker,18.9,18.6,,28.0,29.1,4.1,12.3,,,41.7,34.5,60.6,16.4,55.5,45.2,71.4,,64.2,33.1
dropbox,zxcvbn,25.4,8.3,,36.5,56.7,5.3,15.9,,,61.7,85.7,80.4,30.6,50.1,20.6,33.7,,28.2,57.1
1903514970,cordova-plugin-demotoast,7.0,1.5,,14.3,12.3,4.1,12.4,,,5.1,2.1,3.4,13.3,1.6,6.5,18.7,,0.8,3.2
Automattic,wp-calypso,38.1,30.5,11.2,54.9,55.9,33.3,33.1,22.3,44.6,57.9,82.7,89.3,26.8,32.7,66.6,68.8,47.4,83.5,68.4
schacker,hpack-cli,15.8,1.5,,24.0,37.5,4.1,12.4,,,6.1,4.4,2.5,14.4,3.0,13.2,38.7,,0.9,3.7
FrontendSolutionsGmbH,ufp-core-frontend,12.9,1.5,,32.2,18.0,3.8,11.3,,,8.4,0.9,6.4,21.3,5.0,28.0,68.7,,15.3,3.7
APCOvernight,apc-youtube,9.2,1.6,,13.3,21.9,3.8,11.4,,,7.7,6.0,7.5,14.5,2.9,19.8,58.4,,1.0,5.8
qh08,hendo-cli,12.3,1.6,,30.4,17.1,3.8,11.4,,,9.7,9.2,8.0,14.6,7.1,11.7,33.9,,1.1,7.0
tronscan,tronscan-frontend,14.7,28.8,,19.3,10.6,5.0,14.8,0.1,,29.0,22.8,54.5,14.7,23.9,44.8,70.4,,64.1,27.4
ournameismud,mulp,9.5,1.4,,13.6,22.9,4.0,12.0,,,10.3,7.0,6.3,23.1,4.8,24.9,73.5,,1.1,5.8
diplomatiegouvfr,hornet-js-builder,26.9,1.4,,80.0,26.4,4.0,12.1,,,13.9,2.4,5.6,22.7,25.0,40.1,57.7,,62.5,4.0
cakrit,landscapeapp,12.0,,,42.8,5.1,4.0,12.1,,,6.9,5.2,5.4,14.8,2.0,15.0,38.8,,6.2,4.9
luigimannoni,tovar.js,17.9,30.2,,20.0,21.2,4.0,12.1,,,10.5,6.3,5.1,20.2,10.4,14.1,41.8,,0.6,5.1
meepobrother,nger,24.2,4.3,,40.8,51.8,4.1,12.2,,,10.2,12.6,13.4,13.7,1.2,15.2,37.2,,8.3,10.0
GuillaumeIsabelleX,gix-npm-server,16.2,1.8,,21.1,41.8,4.1,12.2,,,5.6,1.6,5.0,13.8,2.1,9.0,26.3,,0.7,3.6
conveyal,modeify,27.6,16.7,,31.1,62.8,4.1,12.2,,,20.4,12.9,18.7,13.9,36.0,39.7,69.9,,49.1,11.9
rachmanzz,bim,12.3,0.7,,16.4,32.2,4.1,12.3,,,7.1,2.6,4.8,19.8,1.0,12.2,35.2,,1.3,3.8
smashingboxes,smashing-dev-tool,17.9,0.1,,34.3,37.0,3.9,11.8,,,13.4,5.5,8.1,17.4,22.8,14.8,36.6,,7.8,5.8
jkhax0r,require_bluetooth_le,8.7,0.1,,11.8,22.9,3.9,11.8,,,9.5,2.7,4.7,19.1,11.4,7.1,20.5,,0.8,3.8
elandamor,the-react-scripts,7.8,0.2,,9.9,21.2,4.0,11.9,,,3.9,2.2,4.6,8.3,0.5,15.4,44.6,,1.7,3.6
unctionjs,complete,23.9,0.3,,47.1,48.1,4.0,11.9,,,10.2,7.6,4.5,23.0,5.7,22.1,64.0,,2.2,5.4
hades217,lightsight,23.0,0.6,,53.9,37.4,4.0,11.9,,,8.5,5.4,6.6,18.6,3.4,14.7,41.7,,2.2,5.3
Joywok,JwComponents,13.0,0.6,,10.7,40.6,4.0,12.0,,,8.8,2.3,4.4,22.2,6.2,7.8,21.2,,2.3,3.6
founderlab,frameworkstein,17.4,0.6,7.4,23.6,37.9,9.4,12.3,14.8,1.0,6.3,5.3,6.8,8.4,4.7,30.8,62.0,11.9,18.4,7.2
teambit,bit,46.6,47.8,32.4,77.0,29.3,40.1,33.4,48.2,38.7,52.5,88.0,79.6,8.5,34.0,52.9,63.5,19.4,75.9,69.2
bshack,white-label,17.8,8.2,,35.6,27.2,3.4,10.3,,,12.6,2.8,4.3,15.7,27.5,23.2,67.5,,2.0,3.5
SinaMFE,webpack-marauder,17.7,12.5,,35.9,22.3,3.4,10.3,,,13.3,10.9,11.2,25.3,5.9,28.0,52.6,,31.4,8.5
keystonejs,keystone,44.8,46.0,28.4,74.7,30.0,40.9,39.3,43.8,39.6,53.6,78.0,82.2,28.3,25.8,62.6,60.3,43.1,84.3,67.0
ipfs,aegir,40.1,34.3,34.3,47.0,44.9,33.5,27.4,42.1,31.1,28.8,14.8,31.1,28.5,40.6,44.3,32.8,37.2,62.9,26.5
choerodon,choerodon-front-boot,17.2,4.4,,37.7,26.9,5.9,10.4,7.2,,14.2,11.1,17.2,25.2,3.2,37.8,63.3,,50.2,11.4
kevrat,keystone-rus,12.2,,,47.5,1.2,3.5,10.5,,,6.5,1.5,3.6,15.8,5.2,41.6,38.4,0.1,86.2,2.9
nodecg,nodecg,36.4,31.3,24.4,65.4,24.3,30.1,28.6,35.8,25.8,42.1,46.1,48.1,26.0,48.2,44.0,50.4,30.9,50.6,41.4
react-component,rn-packager,20.8,6.5,,27.1,49.5,3.3,10.0,,,15.0,13.2,12.7,21.7,12.3,29.3,40.0,,47.9,9.7
JowayYoung,bruce-cli,15.7,8.4,23.8,20.2,10.5,8.3,10.9,11.5,2.6,21.8,29.3,38.5,17.7,1.6,9.8,26.0,1.3,2.1,25.4
palantir,blueprint,47.1,31.2,30.2,75.4,51.5,42.9,40.9,45.8,42.1,61.3,90.0,90.9,30.4,34.0,51.4,57.0,21.1,76.0,74.6
resin-io,resin-cli,34.1,31.1,31.3,74.0,,37.8,35.5,41.1,36.7,38.0,31.3,46.7,24.9,49.3,51.6,33.2,40.3,81.3,38.6
TryGhost,Ghost,42.2,49.3,31.4,48.7,39.2,45.3,42.6,48.9,44.4,71.7,97.1,97.6,28.6,63.4,66.5,71.8,47.1,80.7,80.0
INSIDEM2M,slim,16.5,27.2,,12.4,26.5,3.4,10.2,,,7.9,7.4,5.9,10.5,7.8,22.4,37.2,,30.1,5.6
fluidtrends,chunky,10.7,3.0,,20.0,20.1,3.4,10.2,,,10.7,12.4,10.8,8.9,10.6,36.0,57.6,,50.3,8.9
npm,npm,23.4,18.4,,14.2,61.1,3.4,10.3,,,71.1,88.1,93.6,23.8,79.1,26.2,16.9,,61.7,61.7
shubhsherl,Ghost,11.7,,,13.2,33.8,1.1,3.4,,,4.3,1.8,3.5,10.6,1.3,41.5,37.0,,87.6,2.1
suntoe,wnode,20.5,1.6,,18.2,62.2,1.1,3.4,,,7.6,1.9,3.1,18.4,7.0,20.8,60.5,,1.8,2.0
smartprix,sm-webpack-config,18.3,10.8,,37.8,24.6,1.2,3.5,,,11.3,5.6,8.4,22.5,8.6,21.1,38.2,,25.1,5.1
bdefore,redux-universal-starter,35.7,31.5,,63.0,48.4,1.2,3.5,,,23.6,32.0,25.8,24.0,12.8,32.8,39.0,,59.5,19.7
codemotion,cogear.js,12.6,6.3,,43.9,,1.2,3.5,,,17.1,25.5,17.5,22.6,2.6,15.0,36.3,,8.8,14.7
apache,couchdb-fauxton,44.3,19.5,18.0,76.1,63.7,23.5,18.7,29.4,22.4,36.8,28.2,56.8,23.3,38.9,52.0,52.6,24.9,78.6,36.2
idancali,react-native,21.8,,,56.1,31.2,1.2,3.6,,,7.8,0.8,3.0,20.5,6.9,34.3,15.5,,87.3,1.7
superdesk,superdesk-client-core,32.2,12.8,31.2,50.1,34.8,32.5,18.7,43.4,35.4,28.6,11.7,37.6,25.8,39.5,62.8,67.6,39.3,81.6,27.3
maxijonson,tchin-react-components,16.1,1.7,,46.5,16.1,1.0,3.1,,,8.3,6.1,2.9,19.5,4.5,21.9,64.0,,1.9,3.3
davanmonet,DaVanMonet,13.4,4.2,,35.0,14.7,1.1,3.2,,,14.9,8.1,8.5,20.0,23.1,40.1,70.1,,50.1,5.9
zero1five,lambda,13.1,0.2,,18.6,33.5,1.1,3.2,,,5.0,1.0,5.8,12.6,0.8,24.4,68.4,,4.8,2.6
ssbc,patchwork,30.6,29.6,,47.3,45.5,1.1,3.2,,,48.5,66.0,67.2,22.0,38.9,47.6,61.4,,81.5,44.8
Travelab,scot4,21.8,29.6,,34.9,22.8,1.1,3.3,,,11.8,1.1,2.8,12.7,30.6,33.1,67.7,,31.8,1.7
facebook,metro,45.5,25.0,32.9,77.5,46.5,39.3,34.2,41.8,42.0,60.5,69.9,72.6,65.1,34.4,66.5,75.1,34.6,89.8,60.6
react-zeroconfig,react-zeroconfig,12.1,6.4,,41.2,0.9,1.1,3.3,,,9.5,11.0,8.2,3.4,15.3,21.1,63.2,,,6.8
websage-team,super-project,22.8,8.7,10.9,48.9,22.8,12.9,6.4,23.4,9.0,21.1,13.1,13.1,25.4,32.6,30.9,37.5,7.5,47.5,13.0
devCrossNet,universal-cli,10.4,,,32.3,9.5,1.0,3.1,,,16.2,15.0,14.0,26.1,9.7,27.8,17.5,,65.9,10.0
skypager,skypager,27.5,2.8,,70.3,37.0,2.8,2.6,5.9,,11.1,9.8,9.1,22.9,2.6,25.2,69.5,4.5,1.6,7.2
xiefei89,rc-tools,5.0,,,18.5,1.7,0.9,2.7,,,4.9,1.4,2.7,12.4,3.2,20.8,13.0,,49.3,1.7
nextstrain,auspice,33.1,33.8,28.8,53.5,16.2,30.5,22.5,38.9,30.2,32.4,24.3,50.8,24.5,30.1,58.9,62.0,32.7,81.8,35.2
andywer,ava-ts,22.5,8.3,,34.8,47.0,0.9,2.7,,,14.9,15.7,11.7,27.5,4.7,50.3,67.1,,83.7,9.4
GrabarzUndPartner,gp-boilerplate-environment,8.1,2.2,,9.4,21.0,0.9,2.8,,,8.0,3.1,1.6,20.6,6.7,9.5,27.2,,1.4,1.9
Netflix,conductor,49.5,43.5,36.2,62.3,56.0,38.1,32.6,40.4,41.4,59.8,83.6,91.6,25.9,37.9,66.2,63.9,41.9,92.8,71.1
