owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile
timoxley,columnify,37.3,3.2,,55.3,90.6,7.6,21.8,0.9,,32.5,30.3,21.7,50.2,27.9,35.5,67.1,0.4,39.0,19.9,28.2
stylelint,stylelint-config-standard,31.6,29.5,19.8,58.6,18.6,27.3,32.3,26.9,22.7,44.7,51.6,43.9,50.8,32.5,46.9,54.4,27.1,59.1,40.9,37.6
coopernurse,node-pool,31.8,10.2,,46.1,70.8,8.4,25.3,,,47.6,59.6,60.7,21.9,48.0,31.1,35.2,,58.0,42.9,29.7
standard-things,esm,13.5,17.0,0.9,22.5,13.8,10.0,21.9,1.8,6.3,51.9,70.4,48.8,53.7,34.6,29.2,78.3,3.1,6.3,43.1,26.2
ogt,valid-url,25.7,2.4,,34.2,66.4,6.6,19.8,,,32.0,21.4,17.2,58.8,30.6,24.0,41.7,,30.4,15.1,22.1
tleunen,babel-plugin-module-resolver,21.7,7.0,,40.4,39.4,6.6,19.8,,,49.6,64.9,56.3,62.7,14.5,43.0,73.5,,55.6,42.6,30.2
mathisonian,command-exists,30.1,3.4,,50.8,66.2,6.6,19.9,,,31.0,17.8,15.8,68.9,21.3,40.7,61.3,,60.8,13.4,27.1
kevva,download,29.2,8.3,3.0,36.3,69.0,8.9,19.9,6.7,,48.3,50.4,55.1,57.7,29.9,33.7,47.3,,53.9,38.1,30.0
TooTallNate,node-plist,35.0,9.1,8.6,43.9,78.4,18.1,26.5,8.2,19.7,38.3,33.4,45.0,26.8,47.9,41.3,54.0,15.8,54.0,32.2,33.2
d3,d3,33.8,36.8,25.4,19.6,53.5,37.1,46.0,30.9,34.5,80.7,99.3,98.8,49.4,75.5,44.8,52.9,36.0,45.5,78.4,49.1
karma-runner,karma-chrome-launcher,30.7,7.3,1.7,49.9,64.0,11.5,24.5,10.0,,50.3,32.3,45.4,74.0,49.7,46.1,71.7,10.3,56.3,29.7,34.7
SamVerschueren,listr,30.7,4.4,,59.5,59.0,6.2,18.5,,,44.1,64.1,45.3,56.8,10.1,33.9,45.6,,56.0,38.5,28.7
sass,node-sass,47.1,43.8,24.7,73.2,46.5,13.1,30.0,9.4,,75.7,77.4,84.5,75.6,65.2,36.7,51.1,17.6,41.5,58.3,43.1
ladjs,consolidate,22.4,,10.9,36.8,42.0,20.7,25.2,17.2,19.8,11.5,8.4,6.1,27.5,3.9,38.9,25.9,16.8,74.0,11.7,23.4
webpack-contrib,stylus-loader,43.0,30.0,17.4,62.2,62.4,26.7,27.1,26.2,26.6,46.3,33.8,40.4,68.8,42.0,48.0,64.2,27.4,52.5,33.6,41.0
yeikos,js.merge,25.3,11.0,5.8,34.5,50.0,15.5,22.1,12.8,11.5,38.7,19.5,24.6,66.9,44.0,27.8,50.7,9.8,22.9,19.9,26.8
expressjs,session,48.2,48.0,27.6,59.4,57.7,29.8,40.7,25.9,22.8,52.7,72.8,80.7,9.2,48.2,36.3,25.5,23.2,60.2,61.1,41.8
react-bootstrap,react-bootstrap,42.3,40.3,28.9,62.5,37.5,40.6,47.4,36.2,38.2,75.5,91.4,94.6,65.7,50.4,54.5,73.8,37.0,52.7,75.5,53.2
stylelint-scss,stylelint-scss,36.1,29.0,30.6,73.8,11.0,38.0,40.9,41.0,32.2,41.5,43.2,38.5,48.0,36.3,55.7,58.0,38.2,71.1,39.9,42.8
palantir,tslint,30.3,30.1,,39.5,51.6,6.1,18.4,,,70.1,72.3,79.9,70.8,57.5,46.2,76.9,,61.6,52.8,38.2
bvaughn,react-virtualized,39.6,29.2,,82.3,47.0,12.7,31.6,6.3,,60.6,93.2,93.7,36.7,18.9,48.8,73.5,,73.0,66.5,40.4
xmldom,xmldom,28.1,22.0,24.9,64.0,1.4,37.8,41.7,40.5,31.2,34.9,25.5,37.6,56.5,19.8,52.6,58.7,38.3,60.9,33.6,38.3
gulpjs,plugin-error,26.8,7.3,,43.7,56.0,7.4,22.2,,,28.0,10.1,13.3,64.5,24.2,27.3,49.9,,31.9,10.3,22.4
Automattic,mongoose,54.1,44.2,30.0,86.4,55.8,47.3,54.1,46.9,40.8,84.7,93.7,94.7,75.3,75.0,47.2,55.0,43.8,42.6,78.6,58.3
karma-runner,karma-jasmine,33.5,14.6,13.7,41.9,63.9,14.5,27.0,9.4,7.0,53.2,34.8,50.9,73.7,53.5,50.4,73.1,13.2,65.0,33.4,37.9
jaredhanson,passport,47.5,30.9,10.6,64.3,84.3,21.4,37.8,19.3,7.1,69.7,91.5,83.3,61.4,42.4,31.9,46.3,9.5,39.8,65.4,42.6
jinder,path,20.5,2.9,,29.3,49.6,7.4,21.3,1.0,,32.8,17.0,36.1,58.6,19.3,16.6,39.1,,10.6,20.2,19.3
chjj,blessed,34.3,22.3,,52.5,62.3,9.8,29.3,,,55.8,81.1,70.8,37.2,34.2,13.6,30.3,,10.6,53.9,28.4
Pomax,react-onclickoutside,29.8,12.3,,55.7,51.0,7.5,22.5,,,46.0,56.0,53.7,46.0,28.1,46.7,70.6,,69.4,39.1,32.5
mariocasciaro,object-path,28.8,7.6,,60.8,46.8,7.5,22.5,,,46.4,46.5,38.9,70.9,29.2,38.9,69.8,,47.0,31.0,30.4
SheetJS,sheetjs,32.0,40.2,16.7,24.7,46.4,12.3,27.4,9.3,,67.6,96.2,97.1,42.4,34.9,38.5,45.4,10.1,59.9,68.5,37.6
jaredhanson,passport-strategy,32.8,6.9,,40.1,84.3,8.3,24.9,,,31.2,15.6,19.6,59.3,30.5,16.1,45.8,,2.5,14.5,22.1
gulpjs,vinyl-fs,35.9,33.3,,54.0,56.2,7.0,21.0,,,51.9,45.4,51.5,62.8,48.0,43.6,48.5,11.8,70.7,34.6,34.6
oclif,config,19.5,8.1,16.1,22.6,31.1,24.7,25.2,29.5,19.6,22.8,10.4,22.2,24.9,33.5,47.9,54.6,30.4,58.6,19.1,28.7
SeleniumHQ,selenium,50.1,41.2,33.7,93.1,32.4,47.5,52.1,47.4,43.0,74.4,95.3,97.0,46.1,59.3,53.0,66.9,45.5,46.8,79.9,56.3
wnr,element-resize-detector,37.0,30.0,,48.9,69.2,6.2,18.7,,,38.4,51.0,42.8,40.9,18.7,30.5,59.3,,32.2,33.3,28.0
browserify,browserify,40.9,17.4,0.6,81.4,64.4,14.8,29.6,7.6,7.2,69.9,85.5,82.8,52.6,58.5,39.6,42.9,3.6,72.3,61.0,41.3
mathiasbynens,base64,29.6,6.7,,46.3,65.4,6.3,18.8,,,35.8,33.7,40.7,45.0,23.6,13.8,38.9,,2.6,26.9,21.4
mscdex,ssh2,45.2,47.7,16.1,58.8,58.2,20.7,36.8,18.1,7.3,54.5,70.9,74.5,35.1,37.4,22.8,35.1,14.6,18.8,55.4,35.8
airbnb,enzyme,43.3,22.6,12.3,76.1,62.0,10.1,23.8,6.5,,61.6,89.6,89.9,54.1,12.9,41.1,50.7,13.4,59.0,63.2,39.0
epeli,underscore.string,12.2,10.0,,38.7,,6.3,18.9,,,60.3,64.7,68.1,52.3,56.0,37.9,56.1,,57.6,46.4,29.2
sindresorhus,user-home,39.7,29.9,,54.3,74.8,6.3,18.9,,,29.3,18.6,13.0,63.3,22.2,18.0,40.7,,13.3,12.6,23.3
angular,components,48.7,35.5,27.1,67.3,64.7,47.9,53.4,47.6,42.8,72.8,92.7,96.7,59.4,42.6,56.2,78.1,46.0,44.5,79.1,56.4
vuejs,vue-style-loader,19.7,5.3,,26.8,46.7,7.2,21.7,,,34.6,22.0,32.6,71.6,12.3,35.7,55.8,,51.2,20.6,24.3
stevemao,left-pad,27.2,18.2,,25.8,64.7,7.2,21.7,,,48.5,50.6,48.2,70.1,24.9,32.8,45.3,,53.1,35.3,28.9
remarkjs,react-markdown,46.2,36.4,24.7,79.3,44.2,26.9,41.5,28.4,10.8,58.7,82.1,78.5,45.6,28.6,46.1,45.1,24.1,69.2,62.5,44.5
Hacker0x01,react-datepicker,48.9,36.5,29.3,85.5,44.5,46.2,52.3,45.8,40.6,65.8,75.8,90.9,44.8,51.5,58.2,61.4,43.4,69.9,71.0,54.8
nfl,react-helmet,35.0,19.9,0.5,73.8,45.9,11.9,30.3,5.5,,60.1,87.3,75.0,58.7,19.5,50.2,80.5,,70.1,58.1,39.3
node-js-libs,cli,23.6,8.7,,32.9,52.9,7.3,21.8,,,41.3,41.5,34.9,42.9,46.0,21.1,32.5,,30.8,27.9,23.3
koajs,compose,36.9,19.7,,57.0,70.9,7.3,21.9,,,43.4,45.7,48.3,49.6,30.1,40.1,63.4,5.5,51.4,33.8,31.9
http-party,http-server,40.8,32.3,0.9,77.6,52.2,13.6,27.7,13.1,,68.1,83.9,86.1,48.3,54.2,48.0,66.2,18.1,59.7,61.2,42.6
ethereumjs,ethereumjs-monorepo,36.7,40.6,29.7,37.6,38.9,43.5,47.1,45.5,37.9,48.0,59.9,74.1,12.7,45.5,54.5,46.5,44.0,73.0,59.2,45.7
dcodeIO,bcrypt.js,27.9,22.1,,44.0,45.4,11.0,27.5,5.5,,46.3,64.8,59.5,23.5,37.4,14.5,25.7,,17.9,45.1,24.9
goto100,xpath,38.6,45.0,32.4,36.7,40.2,31.7,39.5,29.5,26.2,31.7,21.3,32.9,35.6,36.9,31.7,33.2,13.1,48.9,28.6,33.4
hapijs,boom,36.0,31.8,7.6,47.2,57.2,11.1,27.7,5.6,,56.3,62.4,54.1,68.6,40.0,39.2,46.2,6.9,64.5,42.5,35.6
request,request-promise,29.6,14.0,0.8,53.0,50.8,9.2,25.6,2.1,,52.2,68.7,62.2,48.7,29.1,33.0,43.3,,55.6,46.7,31.0
expressjs,errorhandler,34.2,29.9,,49.5,57.2,6.9,20.7,,,42.2,30.0,29.9,68.4,40.4,26.2,51.9,,26.8,22.3,27.4
react-icons,react-icons,37.5,34.3,33.6,49.9,32.3,39.1,48.2,35.7,33.4,65.0,80.8,75.2,70.2,33.8,50.8,61.6,34.5,56.4,65.0,48.1
apostrophecms,sanitize-html,41.4,38.7,6.6,77.3,42.9,17.9,32.6,9.2,11.8,52.1,65.8,67.4,45.8,29.3,37.5,45.4,5.9,61.3,50.4,37.2
react-dnd,react-dnd,30.3,29.6,11.1,59.4,21.2,15.2,34.9,10.6,,67.7,89.8,89.5,44.4,47.2,39.9,73.9,4.3,41.4,64.8,38.3
mishoo,UglifyJS2,50.6,43.3,16.5,81.1,61.4,6.7,20.1,,,12.3,,,19.6,29.6,18.5,27.0,24.8,3.6,2.2,22.0
zenorocha,clipboard.js,47.4,46.7,10.1,74.9,58.0,13.1,30.9,8.3,,57.2,96.1,95.0,4.6,33.2,41.5,55.2,4.2,65.0,68.1,39.8
reactjs,react-modal,36.5,28.6,27.8,56.4,33.0,23.4,36.6,14.3,19.2,57.0,74.8,78.0,50.7,24.3,56.6,77.3,17.8,74.8,58.7,43.4
medialize,URI.js,34.4,12.8,,70.5,54.4,12.6,18.3,19.6,,57.5,73.3,71.5,24.1,61.0,28.0,25.1,,58.9,52.5,33.1
sindresorhus,tildify,33.0,7.8,,48.5,75.6,6.0,18.1,,,28.8,14.7,11.5,59.0,30.1,26.7,44.1,,36.1,10.7,23.6
apollographql,apollo-link,28.0,5.1,,68.5,38.5,6.0,18.1,,,43.4,52.7,65.8,49.2,6.0,53.6,82.1,,78.7,41.5,32.8
winstonjs,winston-daily-rotate-file,35.3,31.4,25.1,37.3,47.5,15.0,31.5,7.8,5.7,36.9,43.3,49.4,33.0,21.9,38.4,46.0,8.7,60.5,35.9,31.4
facebook,react-native,48.8,40.5,26.5,81.3,46.8,44.9,49.6,43.8,41.4,78.7,99.5,98.9,67.2,49.1,55.3,69.9,46.0,50.0,81.1,56.9
75lb,command-line-args,33.9,21.0,,49.3,65.5,6.6,17.1,2.5,,40.1,38.1,41.7,49.5,31.0,23.7,54.6,0.8,15.8,28.8,26.1
naugtur,xhr,35.6,17.9,,76.4,48.2,5.7,17.2,,,45.3,42.1,41.6,58.3,39.2,38.5,59.5,,56.0,29.8,31.3
sidorares,node-mysql2,48.7,21.0,30.1,67.4,76.2,43.3,46.8,44.1,38.9,61.8,67.0,72.3,56.6,51.3,44.5,55.7,42.8,34.9,60.9,49.6
vuejs,vue-hot-reload-api,19.6,4.3,,26.4,47.5,5.7,17.2,,,36.5,32.4,26.9,70.0,16.6,39.2,76.3,,41.4,21.7,25.2
vuejs,vuex,35.3,36.3,6.4,50.9,47.5,16.2,27.7,15.1,5.8,73.1,95.1,97.4,63.8,36.2,49.8,72.8,6.9,69.7,69.6,43.6
prettymuchbryce,http-status-codes,32.4,33.6,5.4,37.7,52.7,17.5,27.3,13.4,11.9,41.3,45.2,41.2,37.8,40.9,34.5,57.9,10.9,34.7,34.6,31.4
kelektiv,node-cron,52.5,39.6,28.4,91.8,50.2,35.7,39.0,42.2,25.8,62.9,76.6,72.7,39.0,63.2,47.8,41.3,35.7,66.4,61.7,49.7
jasmine,jasmine-npm,41.5,44.2,4.1,64.8,52.8,11.9,21.6,8.2,5.9,36.8,28.6,47.7,24.2,46.8,23.4,32.0,3.0,35.2,29.4,28.4
parshap,node-sanitize-filename,30.9,8.2,,41.6,73.8,6.5,16.8,2.6,,23.2,26.5,27.7,9.0,29.4,25.4,53.5,,22.8,20.2,21.5
mui-org,material-ui,40.2,39.8,30.2,90.9,,43.6,42.2,46.4,42.3,78.3,98.9,99.4,62.5,52.3,56.3,71.3,46.3,51.3,80.6,54.6
knex,knex,36.7,38.3,33.5,53.9,21.3,39.9,40.3,38.5,41.1,71.1,88.6,90.2,49.1,56.6,55.9,54.2,43.0,70.4,72.9,50.9
sequelize,sequelize,48.3,46.7,33.5,76.4,36.8,42.2,39.6,47.5,39.4,82.2,95.4,95.5,59.8,78.2,54.7,66.6,44.0,53.7,77.7,56.9
react-component,slider,37.9,28.3,24.9,49.0,49.5,29.7,29.6,31.0,28.6,45.9,62.9,75.7,9.1,35.9,49.1,35.7,31.9,79.7,56.1,40.7
trentm,node-bunyan,37.2,6.3,9.7,81.9,51.0,8.4,16.1,9.1,,59.1,74.4,70.9,50.4,40.6,36.7,66.3,2.9,40.8,51.2,35.3
nashwaan,xml-js,22.0,3.6,,54.2,30.4,5.6,16.7,,,42.7,49.7,53.2,50.1,17.9,34.4,79.5,,23.6,36.2,26.2
websockets,bufferutil,28.9,43.3,4.7,32.1,35.4,10.2,15.2,9.3,6.0,31.8,16.7,25.0,54.4,31.1,29.7,39.8,9.8,39.6,17.3,25.2
firebase,firebase-js-sdk,48.1,33.8,28.1,89.8,40.9,41.9,40.5,44.3,40.9,57.6,68.5,79.0,65.4,17.4,69.2,83.5,45.4,78.8,63.1,54.2
hudochenkov,stylelint-order,33.4,26.8,28.3,39.8,38.5,15.2,20.7,18.9,6.1,36.0,44.3,31.4,42.8,25.6,33.9,55.6,12.6,33.4,30.3,29.6
googleapis,google-api-nodejs-client,51.7,34.5,33.5,90.6,48.1,40.4,44.1,43.5,33.6,60.1,81.0,88.9,5.7,64.8,40.9,34.7,39.7,48.4,70.1,48.3
FortAwesome,Font-Awesome,33.8,24.5,18.2,73.3,19.4,29.5,42.2,23.4,23.0,79.1,98.6,98.1,58.0,61.6,34.5,40.2,11.5,51.9,75.4,44.2
webpack-contrib,eslint-loader,39.1,30.0,,64.2,62.2,5.5,16.6,,,51.9,46.7,46.3,74.1,40.5,49.7,85.2,,63.8,32.8,36.6
ciaranj,node-oauth,29.7,4.6,12.8,21.7,79.7,8.9,16.7,10.1,,47.1,59.8,74.0,5.6,49.0,23.4,23.2,,47.0,47.6,27.3
webpack-contrib,html-loader,52.6,54.7,19.5,73.8,62.4,25.5,28.4,24.4,23.8,52.6,48.9,55.4,63.0,43.3,52.2,65.5,25.1,65.9,43.3,45.7
npm,security-holder,21.7,,,25.7,61.2,5.4,16.3,,,16.6,18.0,26.6,11.6,10.4,20.2,23.0,,37.5,16.7,16.0
pugjs,pug,34.8,33.4,,52.8,52.9,9.0,27.0,,,74.6,90.8,89.3,55.8,62.6,40.8,71.5,2.5,48.4,63.0,39.8
typeorm,typeorm,47.6,36.5,38.6,90.8,24.2,45.1,49.4,42.0,44.0,67.3,95.9,96.5,48.4,28.3,47.4,59.2,22.0,61.1,79.2,51.8
yiminghe,async-validator,27.8,14.1,3.1,49.8,44.4,9.6,23.5,5.2,,57.5,77.7,76.3,57.9,18.1,39.1,73.9,,43.2,54.5,33.5
formatjs,formatjs,48.1,52.0,36.9,62.0,41.5,42.1,45.9,42.0,38.5,66.5,85.0,85.1,40.7,55.3,57.1,76.7,38.4,56.3,70.7,53.5
flitbit,diff,29.9,10.8,,46.1,62.9,5.5,16.5,,,51.0,62.5,59.0,47.7,35.0,34.4,62.8,,40.5,42.3,30.2
driverdan,node-XMLHttpRequest,26.0,2.7,,36.1,65.2,5.5,16.5,,,36.9,29.7,62.9,5.5,49.5,22.6,20.0,,47.9,32.7,22.8
gulpjs,gulp,45.4,40.2,7.0,77.8,56.5,12.6,29.0,8.7,,76.5,95.8,95.6,68.7,45.8,44.6,54.3,,79.6,68.0,44.8
roryrjb,md5-file,18.5,18.3,,43.1,12.3,5.3,16.0,,,31.3,21.0,15.0,62.1,27.0,27.7,43.7,,39.4,13.8,20.7
mathiasbynens,utf8.js,29.3,3.6,,48.0,65.5,5.4,16.1,,,41.4,34.9,45.5,53.5,31.6,17.1,43.3,,8.2,28.6,23.3
firebase,firebase-admin-node,45.6,30.8,32.7,78.2,40.8,39.3,44.1,40.0,33.7,39.1,53.7,65.0,5.4,32.1,47.5,43.9,39.7,58.8,52.7,42.8
59naga,babel-plugin-add-module-exports,24.5,10.4,,25.6,62.0,5.4,16.1,,,34.5,39.4,27.3,48.8,22.3,35.4,78.0,,28.3,24.0,24.9
75lb,command-line-usage,38.0,22.7,,64.0,65.4,5.4,16.2,,,27.9,20.4,21.8,46.6,22.6,17.6,42.5,5.6,4.8,15.9,22.2
jimp-dev,jimp,33.7,17.4,29.8,74.1,13.6,30.8,39.0,23.5,30.1,65.1,84.1,76.0,53.1,47.2,48.4,64.6,30.4,50.4,63.6,44.5
mapbox,node-pre-gyp,50.7,31.8,17.6,81.7,71.5,19.7,30.0,17.9,11.2,53.0,48.0,63.0,72.7,28.2,50.2,64.5,17.1,69.0,43.6,43.4
kelektiv,node.bcrypt.js,44.7,43.5,19.3,65.7,50.4,27.3,38.2,19.8,23.9,53.2,74.5,70.4,5.3,62.6,43.9,43.0,19.2,69.4,57.4,42.3
enzymejs,enzyme,31.9,23.1,15.3,73.6,15.4,8.4,19.9,5.3,,61.6,89.5,90.0,54.0,12.9,40.8,51.0,13.5,58.0,62.6,35.7
ant-design,ant-design,43.7,35.1,27.4,74.6,38.0,44.4,42.6,47.4,43.4,75.3,98.8,99.7,54.6,48.1,58.2,50.5,46.8,77.2,81.0,55.4
lit,lit,35.8,31.1,28.0,76.4,7.6,44.6,46.8,45.6,41.5,59.9,87.4,79.1,36.4,36.7,56.7,57.9,44.5,67.7,70.4,49.2
Automattic,node-canvas,40.9,35.8,15.9,56.1,55.7,31.3,41.6,23.8,28.5,56.0,79.2,82.4,5.1,57.1,44.6,28.3,28.6,76.8,64.3,43.2
mattyork,fuzzy,24.7,2.9,,43.9,52.0,5.2,15.6,,,41.9,42.5,38.2,44.0,43.0,18.8,44.0,,12.3,28.6,22.6
casesandberg,react-color,32.5,17.1,9.6,58.6,44.5,11.5,24.4,10.1,,56.5,81.7,80.0,39.3,25.2,37.3,51.3,,60.6,57.7,34.4
cryptocoinjs,bs58,26.8,22.9,,26.9,57.3,5.2,15.6,,,31.8,20.2,24.3,53.9,28.6,25.0,37.6,,37.4,16.6,22.2
shouldjs,should.js,32.1,23.0,,63.4,42.2,5.1,15.2,,,44.6,56.8,46.0,44.7,30.8,32.2,47.4,,49.2,36.0,28.5
anseki,readline-sync,35.4,30.3,,58.4,52.8,5.1,15.2,,,34.3,41.4,29.6,36.8,29.6,12.4,30.6,,6.7,25.4,21.8
quilljs,quill,39.0,38.7,33.2,55.1,28.9,39.5,43.7,41.1,33.8,73.5,96.4,93.8,41.4,62.2,46.4,61.5,36.5,41.2,76.6,49.6
substack,brfs,21.6,25.2,,59.7,1.6,6.0,17.9,,,39.3,35.3,32.5,48.5,40.9,19.0,38.5,,18.6,24.6,21.5
domenic,chai-as-promised,36.2,23.1,2.1,57.0,62.5,7.5,19.7,2.8,,48.2,52.2,42.6,46.7,51.3,34.6,61.9,,41.8,34.1,31.6
oclif,command,20.8,11.8,18.9,21.8,30.8,23.6,21.5,30.8,18.5,24.8,17.6,24.5,24.7,32.5,44.7,54.7,29.9,49.4,21.9,28.5
dylang,shortid,34.4,24.0,,43.3,70.3,6.1,18.3,,,55.1,71.8,61.2,46.3,41.2,34.3,68.6,,34.2,46.4,32.5
jonschlinkert,gray-matter,29.9,16.6,0.4,56.9,45.5,9.8,26.5,0.8,2.1,48.7,66.3,45.7,56.2,26.5,22.3,39.6,1.1,26.2,40.6,27.7
timoxley,keycode,35.9,5.9,,47.3,90.4,5.7,17.0,,,36.3,31.8,30.0,48.1,35.5,28.2,41.3,,43.2,22.5,26.5
node-config,node-config,35.0,28.3,24.8,36.9,49.9,23.4,34.6,17.0,18.6,54.3,72.9,70.2,20.9,53.0,39.6,35.4,9.3,74.2,55.5,38.1
cujojs,when,29.9,15.2,,42.9,61.3,5.0,15.0,,,65.8,65.2,67.9,65.2,65.0,23.7,41.8,,29.2,46.0,31.1
hammerjs,hammer.js,33.8,24.6,,62.1,48.6,8.3,24.9,,,56.9,92.5,92.6,2.6,40.0,25.5,34.8,,41.6,64.5,31.1
oclif,cli-ux,19.5,3.6,,43.5,30.8,5.0,15.0,,,31.2,35.0,25.3,34.8,29.6,35.6,58.5,,48.2,21.8,22.8
webpack,json-loader,25.3,17.1,,25.4,58.8,5.0,15.1,,,44.8,31.1,36.6,69.3,42.4,38.0,68.7,,45.2,24.2,28.3
necolas,normalize.css,46.5,46.1,20.9,55.6,63.3,8.9,21.9,5.0,,73.7,97.5,97.8,55.1,44.4,31.6,35.5,,59.2,68.1,40.2
mrdoob,three.js,41.9,36.2,29.7,56.0,45.7,46.0,47.7,47.0,43.3,80.5,99.1,99.6,47.3,76.2,48.8,51.5,45.6,49.2,81.6,54.3
standard,eslint-plugin-standard,30.4,30.4,5.5,51.9,33.8,13.4,21.3,5.5,13.5,26.5,16.6,15.6,58.9,15.1,35.3,48.4,7.0,50.5,15.2,26.4
mobxjs,mobx,44.1,43.9,23.6,78.7,30.3,39.2,44.5,35.4,37.8,66.3,94.1,88.1,39.9,43.1,60.7,76.5,37.4,68.2,73.8,52.6
amqp-node,amqplib,35.8,37.8,13.2,44.0,48.1,21.5,33.4,17.4,13.6,54.0,66.0,70.1,43.3,36.6,47.2,54.9,14.8,72.0,52.5,39.6
imagemin,imagemin,23.0,11.8,,23.2,57.0,5.6,16.9,,,57.3,71.1,61.1,61.7,35.5,31.2,47.8,,45.8,45.9,29.3
redux-saga,redux-saga,42.6,45.0,23.3,84.1,17.9,24.6,34.2,20.8,18.7,66.7,91.8,89.7,49.0,36.2,52.6,67.2,24.9,65.8,68.7,46.6
adamwdraper,Numeral-js,33.6,20.8,,59.6,54.2,9.4,23.1,5.0,,51.8,79.0,80.4,2.4,45.5,25.9,30.8,,47.0,56.3,30.2
intlify,vue-i18n-next,36.8,31.0,32.3,67.9,15.9,43.2,46.8,44.0,38.7,43.5,55.6,61.0,29.2,28.2,47.7,61.0,40.1,42.2,53.3,42.8
node-schedule,node-schedule,33.7,24.7,,67.4,42.5,8.6,25.9,,,61.8,78.3,70.7,40.3,57.9,37.3,37.9,5.4,68.5,52.5,35.3
mysqljs,mysql,36.4,22.6,15.7,57.4,50.1,8.7,18.2,7.9,,71.7,88.3,92.1,59.1,47.4,29.1,41.9,5.5,39.7,63.0,36.5
babel,babel-preset-env,38.7,30.9,,80.6,43.2,4.8,14.4,,,53.8,65.5,53.9,69.1,26.6,44.7,84.9,,49.3,41.4,35.5
rollup,rollup-plugin-babel,28.9,30.4,,48.5,36.8,4.8,14.4,,,39.0,38.7,38.0,65.8,13.6,44.8,76.0,,58.5,27.2,29.4
babel,babelify,31.8,26.1,,58.0,43.1,4.8,14.5,,,43.4,54.4,45.1,47.5,26.6,44.4,72.9,,60.2,34.8,31.1
lodash,babel-plugin-lodash,27.0,19.3,,48.6,40.1,4.8,14.5,,,39.2,57.5,42.2,42.0,14.9,37.0,71.3,,39.7,34.8,27.0
akiran,react-slick,42.6,41.4,32.9,67.3,28.6,28.2,36.7,29.5,18.3,65.6,81.5,90.4,50.5,39.8,41.3,50.1,9.2,64.6,66.7,44.4
FortAwesome,react-fontawesome,26.5,20.5,,67.9,17.9,7.5,22.5,,,36.5,66.2,60.0,0.3,19.4,38.2,56.2,2.4,56.0,44.6,27.2
gulpjs,gulp-util,36.1,30.7,,65.5,48.4,4.9,14.6,,,44.0,42.6,41.1,61.2,31.1,36.2,46.6,,62.0,29.5,30.3
chancejs,chancejs,32.4,21.6,22.1,50.0,36.1,21.0,25.7,18.9,18.4,43.8,73.4,69.2,1.1,31.5,45.6,58.2,24.2,54.4,54.5,35.7
ardatan,graphql-tools,42.0,38.6,25.5,66.5,37.4,43.1,42.6,47.0,39.7,59.8,70.6,77.0,50.0,41.6,53.9,58.7,43.5,59.4,63.6,49.7
rstacruz,nprogress,30.9,14.0,,35.3,74.4,6.0,18.0,,,67.4,93.4,88.8,50.6,36.9,26.9,42.3,,38.5,62.7,32.8
theturtle32,WebSocket-Node,29.6,39.6,,32.3,46.5,6.6,19.7,,,46.3,66.4,72.9,1.2,44.7,25.6,24.7,0.1,52.0,48.6,27.0
acdlite,recompose,34.7,16.1,,65.0,57.7,4.7,14.2,,,62.4,85.9,83.9,46.4,33.5,47.1,80.9,,60.4,58.2,37.2
cryptocoinjs,secp256k1-node,29.3,26.4,3.8,29.5,57.4,8.1,21.3,3.1,,33.9,26.4,47.0,26.2,36.0,28.0,29.9,0.2,53.8,27.2,24.8
facebook,draft-js,32.2,5.4,,77.0,46.6,4.8,14.3,,,62.8,91.9,92.7,39.6,26.9,52.5,77.5,1.1,78.9,63.1,38.1
jrburke,r.js,42.0,16.1,,75.2,76.5,4.8,14.3,,,45.3,60.8,74.7,1.3,44.2,17.8,17.0,,36.4,46.8,27.4
broofa,node-uuid,13.9,,,22.7,33.0,5.3,15.9,,,13.6,23.7,21.4,1.4,8.1,21.0,16.8,,46.0,16.8,13.5
rafeca,prettyjson,31.7,5.0,,60.5,61.1,5.3,16.0,,,39.4,32.8,28.8,36.9,59.3,26.1,52.5,,25.6,22.3,25.6
Leaflet,Leaflet,43.9,34.1,33.2,58.9,49.4,41.7,45.5,40.7,39.0,75.5,96.5,96.4,45.1,64.0,51.5,53.2,40.3,61.0,78.2,53.2
webpack-contrib,uglifyjs-webpack-plugin,41.0,28.6,,73.0,62.2,4.6,13.9,,,50.4,51.9,54.6,70.4,24.6,44.5,84.8,,48.6,37.0,35.1
abbr,deasync,25.4,23.4,3.7,30.2,44.2,11.6,22.7,9.3,2.9,42.3,45.0,34.0,47.9,42.3,25.1,32.3,5.2,37.8,30.2,26.1
dreamerslab,node.extend,35.3,30.6,2.5,45.3,62.9,7.6,15.0,4.9,3.0,28.3,17.1,15.2,40.0,40.9,20.9,34.9,5.4,22.5,13.3,23.0
theaqua,redux-logger,12.6,,,50.2,,4.7,14.0,,,55.8,71.9,65.1,52.0,34.2,43.1,74.8,,54.4,47.2,29.0
expressjs,method-override,38.1,30.6,10.2,54.3,57.2,5.0,14.0,1.1,,41.2,36.9,28.3,59.2,40.2,23.7,48.4,,22.7,23.4,27.0
