owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
hughsk,flat,14.1,15.2,38.0,88.2,42.3,21.6,20.7,53.9,55.1,54.8,67.6,38.1,44.6,17.6,55.1,34.625,40.0,38.875,38.85,37.449999999999996,711.0,712.0,B,B
alexreardon,memoize-one,40.6,0.0,41.9,38.4,32.9,0.0,0.0,46.4,62.2,36.7,65.6,21.1,73.6,0.0,17.8,19.825,29.5,30.225,28.125,26.058333333333334,381.0,427.0,D,C
expressjs,cors,38.3,2.1,71.7,57.8,39.3,11.4,0.0,63.8,72.4,69.5,79.1,34.1,44.3,3.1,61.8,28.625,39.9,42.474999999999994,35.824999999999996,35.64166666666666,665.0,707.5,B,B
remix-run,react-router,40.8,27.5,58.6,12.7,62.4,44.4,41.7,81.9,97.6,97.7,79.3,53.2,81.3,44.7,63.4,57.60000000000001,57.4,34.9,60.64999999999999,51.04999999999999,969.0,990.0,A,A
crypto-browserify,createHash,6.7,0.0,26.0,0.0,31.3,0.0,0.0,13.7,12.3,20.6,3.0,19.1,12.5,0.0,26.2,11.25,11.3,8.175,14.450000000000001,11.291666666666666,48.0,54.0,F,F
BerkeleyTrue,warning,30.3,0.0,50.7,31.5,28.9,0.0,0.0,33.5,21.8,17.1,72.3,23.0,79.8,0.0,35.9,15.6,27.5,28.125,34.675,26.133333333333336,383.0,357.0,D,D
then,is-promise,24.3,0.0,30.5,51.4,28.4,0.0,0.0,40.8,23.9,19.9,78.8,40.7,36.2,0.0,19.9,17.299999999999997,23.9,26.549999999999997,24.200000000000003,22.683333333333334,235.0,241.5,D,D
immerjs,immer,42.8,15.6,34.9,10.5,43.4,17.2,5.2,70.9,94.0,78.1,81.6,29.9,85.8,19.1,66.3,34.175,44.0,25.949999999999996,50.275,36.8,694.0,796.5,B,B
avoidwork,filesize.js,39.7,20.5,45.8,60.1,44.1,26.9,29.8,54.1,53.3,39.9,83.4,39.9,53.9,17.8,48.0,38.725,42.3,41.525,39.9,40.050000000000004,771.0,754.5,B,B
jest-community,eslint-plugin-jest,42.4,31.3,39.3,18.6,50.6,39.9,32.6,54.6,48.1,56.4,79.8,34.0,60.2,37.7,75.5,44.425,46.6,32.9,51.849999999999994,43.05833333333333,834.0,837.0,A,A
typicode,husky,49.1,35.0,41.2,42.5,56.9,35.2,37.7,71.9,95.5,80.9,64.4,46.6,58.9,36.0,48.9,50.425,51.2,41.95,47.6,46.65833333333333,895.0,910.0,A,A
mscdex,busboy,29.4,6.4,30.2,58.2,38.9,8.2,5.3,55.5,61.6,55.6,73.0,31.9,40.2,5.4,27.1,26.974999999999998,32.1,31.05,26.150000000000006,28.058333333333337,457.0,523.0,C,C
stefanpenner,es6-promise,17.1,0.0,30.8,81.6,31.0,0.0,0.0,62.4,74.7,72.5,74.3,28.0,83.0,0.0,76.7,23.35,39.6,32.375,46.925,34.21666666666667,636.0,693.5,B,B
postcss,postcss-import,48.0,31.5,29.6,51.5,47.7,30.6,20.4,54.6,51.4,45.2,81.9,39.8,46.3,25.8,60.1,38.325,42.9,40.15,43.0,40.49166666666667,785.0,770.0,B,B
MikeMcl,bignumber.js,41.3,15.5,34.4,39.6,50.8,13.3,20.5,62.9,73.5,75.6,66.6,36.1,31.9,10.8,20.4,36.875,36.2,32.699999999999996,24.799999999999997,31.45833333333333,570.0,616.5,C,B
felixge,node-dateformat,17.7,0.0,43.2,79.0,32.8,0.0,0.0,42.8,50.9,51.1,10.0,59.2,53.0,0.0,70.9,18.9,32.5,34.975,45.775000000000006,33.21666666666667,614.0,534.5,B,C
benjamn,recast,16.9,24.6,31.4,72.7,47.7,26.9,12.1,60.1,68.8,64.8,68.0,38.7,68.7,20.6,77.0,36.699999999999996,45.2,36.400000000000006,51.25,41.449999999999996,803.0,816.5,A,A
validatorjs,validator.js,33.5,22.6,54.9,35.8,59.6,31.4,34.6,61.6,91.7,91.2,7.0,56.3,28.9,37.7,86.8,46.8,47.8,36.7,52.425,45.30833333333334,870.0,850.5,A,A
reduxjs,redux,32.5,24.0,88.3,22.4,60.5,39.2,40.4,78.1,98.2,98.5,74.9,40.7,87.9,39.5,77.1,54.550000000000004,58.7,41.800000000000004,61.3,52.550000000000004,981.0,994.5,A,A
moment,moment-timezone,42.4,16.3,56.3,47.2,51.3,18.8,20.3,67.6,66.7,78.7,64.1,60.8,64.0,20.8,79.8,39.5,48.3,40.55,56.35000000000001,45.46666666666667,873.0,859.0,A,A
hapijs,joi,47.8,33.5,41.3,57.5,56.8,34.1,32.5,71.3,90.1,86.5,72.5,36.2,45.4,28.7,83.8,48.675,52.5,45.025,48.52499999999999,47.408333333333324,909.0,929.5,A,A
node-formidable,formidable,44.1,22.0,71.1,37.5,45.6,11.6,5.4,67.2,74.0,74.8,67.0,52.9,75.1,21.6,66.8,32.45,46.6,43.675,54.099999999999994,43.40833333333333,840.0,837.0,A,A
remix-run,history,27.6,0.0,36.9,12.3,37.1,0.0,0.0,65.2,76.8,80.6,74.6,28.6,81.1,0.0,54.3,25.575000000000003,35.5,19.2,40.99999999999999,28.59166666666667,486.0,600.5,C,B
dominictarr,split,16.9,0.0,17.4,90.8,31.4,0.0,0.0,38.6,27.6,22.9,67.4,36.6,34.3,0.0,19.0,17.5,24.5,31.275,22.475,23.75,280.0,258.0,D,D
yeoman,configstore,23.8,0.0,51.3,65.2,37.2,0.0,0.0,48.5,43.4,28.0,77.2,45.4,41.6,3.2,52.6,21.425,32.1,35.075,35.7,30.733333333333334,555.0,523.0,C,C
gulpjs,findup-sync,25.1,10.5,38.0,56.2,33.3,2.8,5.5,38.6,15.0,18.7,73.1,47.5,43.8,5.1,29.6,20.049999999999997,27.8,32.45,31.5,28.0,454.0,365.5,C,D
airbnb,babel-plugin-dynamic-import-node,26.7,0.0,42.6,61.9,31.5,0.0,0.0,39.9,36.0,31.3,84.2,8.2,55.3,0.0,35.9,17.85,28.4,32.8,24.849999999999998,25.166666666666668,340.0,390.0,D,D
image-size,image-size,22.1,13.6,40.0,47.2,42.1,21.1,4.0,56.8,57.1,53.1,76.9,40.2,71.0,3.2,35.6,31.0,36.6,30.725,37.5,33.074999999999996,611.0,626.0,B,B
ladjs,superagent,26.7,23.1,62.5,41.5,51.1,27.5,29.9,76.3,86.7,84.6,64.8,69.2,59.6,24.7,84.6,46.2,51.8,38.45,59.52499999999999,48.05833333333334,923.0,918.5,A,A
tildeio,rsvp.js,22.9,0.0,42.1,54.2,31.1,8.0,0.0,59.9,66.1,60.8,77.3,35.4,87.8,0.0,79.6,24.75,39.6,29.8,50.699999999999996,35.083333333333336,654.0,693.5,B,B
normalize,mz,6.9,0.0,29.5,46.8,31.1,0.0,0.0,45.5,52.0,28.1,78.0,23.8,43.5,0.0,48.3,19.15,26.8,20.799999999999997,28.9,22.95,249.0,331.0,D,D
ljharb,js-traverse,8.1,15.3,64.0,48.1,36.7,16.5,16.6,7.2,11.4,10.1,7.1,0.3,17.2,23.6,43.3,19.25,23.1,33.875,21.099999999999998,24.741666666666664,316.5,218.0,D,D
