owner,repo,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contributor_participation,code_contribution,contributor_growth,popularity,stars_and_watches,forks,downstream_dependents,project_maturity,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,avg_percentile,maintenance_and_goodwill,code_quality,component_avg,component_rank,trustee_rank,component_grade,trustee_grade
Pomax,react-onclickoutside,0.0,0.0,55.7,51.0,18.7,0.0,0.0,45.9,56.0,53.7,46.0,27.8,70.6,0.0,69.4,16.15,31.4,26.675,41.95,28.258333333333336,502.0,526.5,C,C
mariocasciaro,object-path,0.0,0.0,60.3,46.6,18.7,0.0,0.0,46.4,46.5,38.9,70.9,29.2,69.8,0.0,47.0,16.275,29.6,26.725,36.5,26.5,432.5,453.0,C,C
SheetJS,sheetjs,17.5,16.7,24.1,46.5,23.7,7.3,0.0,67.6,96.2,97.1,42.4,34.9,45.4,10.1,59.9,24.65,35.7,26.2,37.574999999999996,29.474999999999994,547.0,624.0,C,B
jaredhanson,passport-strategy,22.4,0.0,39.3,84.3,21.2,0.0,0.0,31.2,15.6,19.5,59.3,30.5,45.8,0.0,2.5,13.1,22.7,36.5,19.7,23.099999999999998,294.5,233.0,D,D
gulpjs,vinyl-fs,26.2,0.0,53.8,56.2,21.2,0.0,0.0,51.9,45.4,51.5,62.8,48.0,48.5,11.8,70.7,18.275,34.2,34.05,44.75,32.35833333333333,614.0,591.5,B,C
oclif,config,0.0,16.1,22.7,31.1,25.4,29.5,19.6,22.8,10.4,22.2,24.9,33.5,54.6,30.4,58.6,24.324999999999996,28.2,17.475,44.275,28.691666666666663,520.0,410.5,C,C
SeleniumHQ,selenium,27.7,33.7,93.2,32.1,51.8,47.4,43.0,74.4,95.3,97.0,46.1,59.3,66.9,45.5,46.8,54.150000000000006,55.4,46.675000000000004,54.625,51.81666666666667,984.0,979.0,A,A
wnr,element-resize-detector,0.0,0.0,49.5,69.2,18.9,0.0,0.0,38.4,51.0,42.8,40.9,18.7,59.3,0.0,32.2,14.325,26.2,29.675,27.55,23.849999999999998,329.0,343.0,D,D
browserify,browserify,15.5,0.6,81.4,64.4,29.8,7.6,7.2,69.8,85.5,82.8,52.6,58.3,42.8,3.6,72.3,28.599999999999998,41.2,40.475,44.25,37.775,736.0,745.5,B,B
mathiasbynens,base64,0.0,0.0,46.1,65.4,19.0,0.0,0.0,35.8,33.7,40.7,45.0,23.6,38.8,0.0,2.6,13.7,20.9,27.875,16.25,19.275000000000002,166.0,184.0,F,F
