owner,repo,maintenance,issues_maintenance,code_maintenance,community_documentation,maintainer_history,contribution,contributor_participation,code_contribution,contributor_growth,usage_popularity,stars_and_watches,forks,downstream_dependents,project_maturity,code_quality,dependencies_health,testing_quality,review_coverage,community_activity_and_integrity,trustee_avg,popularity_component,community_activity_and_integrity_component,maintenance_and_goodwill_component,code_quality_component,component_avg,component_rank,component_rank_grade,trustee_rank,trustee_rank_grade,component_zscore,component_z_grade,trustee_zscore,trustee_z_grade
react-icons,react-icons,37.7,34.4,33.6,49.9,32.8,39.7,49.5,35.8,33.7,65.0,80.8,75.2,70.2,33.8,50.9,61.6,34.7,56.5,65.2,48.3,75.5,48.625,37.675,46.650000000000006,44.31666666666666,850.0,A,858.5,A,1.1806373393248488,B,1.2412249001413032,B
apostrophecms,sanitize-html,41.5,39.1,6.6,77.3,42.9,19.0,35.9,9.2,11.9,52.1,65.8,67.4,45.8,29.3,37.7,45.4,6.0,61.8,50.7,37.6,59.76666666666667,29.19166666666667,41.475,35.625,35.43055555555556,648.0,B,649.0,B,0.39879844669598147,C,0.39222300593091497,C
react-dnd,react-dnd,30.3,29.4,11.1,59.4,21.1,15.7,36.9,10.2,0.0,67.7,89.8,89.5,44.4,47.2,39.9,73.9,4.3,41.6,65.0,38.4,74.66666666666667,30.44166666666667,30.25,41.75,34.14722222222222,623.0,B,669.0,B,0.2858851711740876,C,0.4556997830681401,C
mishoo,UglifyJS2,50.7,43.6,16.6,81.1,61.5,7.3,22.0,0.0,0.0,12.3,0.0,0.0,19.4,29.6,18.4,27.0,24.8,3.5,2.4,22.2,19.7,10.425,50.699999999999996,21.225,27.45,418.5,C,193.0,F,-0.30336571039146404,C,-0.8297049539606723,D
zenorocha,clipboard.js,47.4,46.5,10.1,74.8,58.0,13.7,33.1,8.0,0.0,58.2,96.1,95.0,8.3,33.2,42.0,56.5,4.2,65.2,68.3,40.3,66.33333333333333,26.858333333333334,47.35,39.775000000000006,37.99444444444445,715.0,B,718.0,B,0.6243805967105002,B,0.60645712876905,B
reactjs,react-modal,36.5,28.7,27.8,56.4,33.0,24.3,38.9,13.4,20.7,57.0,74.8,78.1,50.7,24.3,56.9,77.3,18.5,75.0,59.1,43.7,67.93333333333334,35.233333333333334,36.474999999999994,48.775000000000006,40.16111111111111,767.0,B,790.5,B,0.8150133995396707,B,0.8762334316022581,B
medialize,URI.js,34.6,12.8,0.0,71.0,54.4,13.9,22.1,19.7,0.0,57.4,73.3,71.5,23.8,61.0,28.0,25.0,0.0,59.0,52.9,33.5,56.23333333333333,24.508333333333333,34.55,36.25,31.769444444444446,570.0,C,565.0,C,0.07667789012053663,C,0.06690452310263516,C
sindresorhus,tildify,32.4,7.8,0.0,48.5,73.2,7.4,22.1,0.0,0.0,28.8,14.6,11.5,59.0,30.1,26.8,43.9,0.0,36.5,11.2,23.8,28.366666666666664,12.616666666666667,32.375,27.625,24.20555555555556,286.0,D,240.0,D,-0.5888261125766834,D,-0.7027513996862217,D
apollographql,apollo-link,28.0,5.2,0.0,68.5,38.4,7.4,22.2,0.0,0.0,43.4,52.6,65.8,49.2,6.0,53.6,82.1,0.0,78.7,41.9,33.1,55.93333333333334,19.533333333333335,28.025,41.7,29.75277777777778,513.0,C,555.0,C,-0.10075725712815292,C,0.03516613453402261,C
winstonjs,winston-daily-rotate-file,35.3,31.2,25.1,37.2,47.5,16.3,35.4,7.8,5.9,36.8,43.2,49.0,33.0,21.9,38.4,46.0,8.8,60.5,36.2,31.7,41.86666666666667,22.741666666666667,35.25,34.3,30.763888888888886,553.0,C,505.0,C,-0.011795282474540406,C,-0.07591822545612184,C
facebook,react-native,49.0,40.8,26.7,81.4,46.9,45.0,49.7,43.9,41.5,78.7,99.5,98.9,67.2,49.1,55.2,69.9,46.0,49.8,81.1,57.0,88.63333333333333,55.93333333333334,48.95,53.699999999999996,52.861111111111114,981.0,A,989.0,A,1.932414905353733,A,1.9315348515086286,A
75lb,command-line-args,33.9,21.3,0.0,49.3,65.2,6.4,17.1,2.1,0.0,40.1,38.0,41.7,49.5,31.0,24.0,54.6,0.8,16.6,28.7,26.1,43.13333333333333,15.583333333333334,33.95,25.75,25.094444444444445,326.0,D,306.0,D,-0.51061778321087,D,-0.5202556654166989,D
naugtur,xhr,35.5,17.9,0.0,75.9,48.2,5.7,17.1,0.0,0.0,45.2,42.0,41.4,58.3,39.2,38.2,59.5,0.0,55.0,29.7,31.2,47.26666666666667,16.09166666666667,35.5,38.425,30.005555555555556,519.0,C,492.5,C,-0.07851676346474978,C,-0.11559121116688767,C
