owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull
adaltas,node-http-status,0.02,0.01,0.00,6.54,1.32,,0.18,0.21,0.00,0.00,0.00,,5.00,0.00,0.87,1.03,3.63,0.03,0.00,0.00,1.25,0.01,8.38,,0.00,0.09,0.00,0.03,10.00,10.00,6.84
Medium,phantomjs,0.06,0.06,0.03,6.54,1.32,,,,,,,0.08,3.70,0.00,0.08,0.91,5.56,0.07,0.00,0.00,5.29,0.01,7.37,0.05,,,,,,,6.84
webpack-contrib,extract-text-webpack-plugin,0.18,0.07,0.65,6.54,1.32,,,,,,,0.66,5.00,0.00,0.56,0.78,6.35,4.03,3.71,0.00,0.88,0.05,6.43,0.04,,,,,,,6.84
jxson,front-matter,0.03,0.01,0.03,6.54,1.32,,,,,,,0.03,4.20,0.00,0.95,1.27,7.66,0.00,0.00,0.00,2.06,0.01,7.52,,0.01,,0.00,,0.00,,6.84
reactstrap,reactstrap,0.48,0.17,0.12,6.54,1.47,,1.40,0.45,0.04,1.22,1.36,0.35,8.70,3.43,0.95,0.05,4.70,5.64,2.07,0.02,0.81,0.22,5.01,0.13,0.10,0.26,0.07,0.03,1.70,4.44,6.84
babel,ember-cli-babel,0.01,0.02,0.02,6.53,1.32,,4.70,0.00,0.05,0.23,0.09,0.18,3.70,0.00,0.71,0.55,5.42,1.84,0.26,0.00,2.87,0.02,5.82,0.12,0.04,0.17,0.06,0.08,4.00,6.67,6.84
twitter,hogan.js,0.23,0.06,0.02,6.53,1.32,,,,,,,,7.50,0.00,1.03,0.90,6.17,0.01,0.00,0.00,0.88,0.03,7.87,0.00,,,,,,,6.84
klughammer,node-randomstring,0.02,0.01,0.02,6.53,1.32,,,,,,,,3.70,0.00,0.56,0.07,7.39,0.00,0.00,0.00,1.40,0.00,7.81,,,,,,,,6.84
jquery,jquery-ui,0.51,0.67,0.02,6.53,1.28,,0.25,0.56,0.02,0.84,0.00,0.71,7.50,2.00,0.24,0.51,6.99,0.00,0.00,0.00,0.88,0.21,9.19,0.00,0.17,0.09,0.04,0.01,4.50,6.67,6.84
imagemin,imagemin-pngquant,0.01,0.01,0.09,6.53,1.36,,,,0.00,0.00,,0.10,3.70,0.00,0.40,0.32,7.15,0.03,0.00,0.00,1.25,0.01,6.27,0.01,,,0.00,,,4.44,6.84
getsentry,raven-js,0.34,0.19,0.02,6.55,8.28,,1.11,0.21,5.10,0.17,0.01,1.54,8.70,4.86,0.56,4.96,3.23,9.29,2.93,1.14,0.88,0.60,7.79,1.13,3.44,0.78,5.08,0.43,7.40,10.00,6.32
showdownjs,showdown,0.63,0.20,0.02,6.55,1.36,,0.59,0.97,,,0.17,0.25,6.20,1.14,3.33,0.12,6.43,0.39,0.56,0.00,0.15,0.07,10.00,0.13,0.09,,0.00,,2.70,,6.32
angular,angular.js,2.69,3.52,0.00,6.55,1.32,,,,,,,1.51,8.70,3.14,0.00,1.86,6.01,1.33,5.91,0.00,0.37,0.08,9.21,,,,,,,,6.32
apocas,dockerode,0.19,0.06,0.01,6.55,1.28,,1.38,0.99,0.00,1.72,0.01,0.20,4.20,0.00,2.30,0.76,6.03,0.03,0.00,0.00,2.50,0.02,6.71,0.13,0.12,0.09,0.00,0.02,7.30,10.00,6.32
dcodeIO,bytebuffer.js,0.03,0.02,0.00,6.55,1.32,,,,,,,0.12,3.70,0.00,0.00,0.61,5.45,0.00,0.00,0.00,0.22,0.01,7.06,0.01,,,,,,,6.32
vuejs,vue-class-component,0.26,0.05,0.04,6.55,1.32,,,5.12,0.00,0.22,,0.22,5.00,0.00,0.48,1.11,4.79,3.54,3.45,0.00,0.74,0.02,5.46,0.06,0.03,0.00,0.00,0.00,0.00,10.00,6.32
nickmerwin,node-coveralls,0.05,0.03,0.00,6.55,1.32,,,,,,,0.10,4.20,0.00,1.51,0.90,7.47,0.69,1.25,0.00,3.60,0.01,7.03,0.04,,,,,,,6.32
hughsk,envify,0.04,0.01,0.04,6.55,1.32,,,,,,,0.08,2.80,0.00,0.56,4.46,7.36,0.00,0.00,0.00,1.47,0.00,6.86,,0.00,,,,0.00,,6.32
olado,doT,0.23,0.13,0.01,6.55,1.32,,0.00,,0.00,0.23,,0.22,4.20,0.00,0.87,0.05,8.07,0.02,0.00,0.00,0.29,0.00,8.52,0.01,0.01,,0.00,,5.00,4.44,6.32
tediousjs,node-mssql,0.10,0.06,0.00,6.54,1.32,0.56,0.47,0.15,0.29,0.14,1.47,0.35,5.00,0.00,6.43,0.09,5.37,0.49,0.04,0.01,1.69,0.02,6.75,0.18,0.27,0.22,0.29,0.25,8.90,10.00,6.32
tj,connect-redis,0.13,0.05,0.02,6.54,1.32,0.69,1.13,0.94,0.01,0.51,0.75,0.10,4.20,0.00,0.32,2.68,7.21,0.01,0.00,0.01,0.81,0.01,8.86,0.05,0.06,0.04,0.01,0.00,10.00,10.00,6.32
kaorun343,vue-property-decorator,0.25,0.05,0.00,6.54,1.32,,0.89,0.00,,,,0.15,4.20,0.00,1.27,0.39,3.78,0.00,1.03,0.00,0.88,0.01,5.08,0.04,0.00,,,,10.00,,6.32
contra,gulp-concat,0.04,0.02,0.20,6.54,1.32,,,,,,,0.08,3.70,0.00,0.32,0.06,1.89,0.01,0.00,0.00,3.90,0.00,6.81,,,,,,,,6.32
